transaction_id,transaction_date,transaction_time,instore_yn,quantity,line_item_amount,unit_price,promo_item_yn,first_name,last_name,position,start_date,location,home_store_bool,home_store,customer_first-name,customer_email,customer_since,loyalty_card_number,birthdate,gender,birth_year,product_group,product_category,product_type,product,product_description,unit_of_measure,current_wholesale_price,current_retail_price,tax_exempt_yn,promo_yn,new_product_yn,sales_outlet_type,store_square_feet,store_address,store_city,store_state_province,store_telephone,store_postal_code,store_longitude,store_latitude,manager,Neighorhood
756,2019-04-04,14:06:20,Y,2,6,3,N,Britanni,Jorden,Coffee Wrangler,3/25/2006,4,#REF!,5,Yardley,Neve@Class.gov,2019-02-10,085-930-2719,1999-10-25,N,1999,Beverages,Tea,Brewed Black tea,English Breakfast Lg,The Queen's favourite cuppa in the morning. ,24 oz,0.75,$3.00 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
1183,2019-04-05,17:03:37,N,2,5,2.5,N,Remedios,Mari,Coffee Wrangler,5/9/2014,4,#REF!,8,Holly,Kirk@ullamcorper.net,2018-05-07,732-673-2150,1967-09-12,F,1967,Beverages,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Face the morning after your yoga routine. ,16 oz,0.629999995,$2.50 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
320,2019-04-14,14:08:32,Y,1,2.200000048,2.200000048,N,Quail,Octavia,Coffee Wrangler,12/5/2014,5,#REF!,3,Kuame Johnston,Wyoming@scelerisque.org,2019-02-10,978-328-0944,1997-09-12,M,1997,Beverages,Coffee,Gourmet brewed coffee,Ethiopia Sm,A bold cup when you want that something extra.,8 oz,0.439999998,$2.20 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
3672,2019-04-22,11:01:43,N,2,5,2.5,N,Damon,Sasha,Coffee Wrangler,6/5/2010,4,#REF!,3,Joelle Workman,Perry@nascetur.edu,2018-01-27,108-768-6055,1974-05-08,F,1974,Beverages,Tea,Brewed herbal tea,Peppermint Rg,A cool and refreshing cup.,16 oz,0.629999995,$2.50 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
366,2019-04-13,11:57:45,Y,2,5.099999905,2.549999952,N,Tatum,Laurel,Coffee Wrangler,1/31/2015,10,#REF!,8,Rhonda,Amal@lectus.gov,2017-11-26,836-705-0650,1991-01-28,N,1991,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,When you need your eyes opened wide.,16 oz,0.639999986,$2.55 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
259,2019-04-12,08:04:39,Y,1,3,3,N,Britanni,Jorden,Coffee Wrangler,3/25/2006,4,#REF!,5,Maxwell,Azalia@Curabitur.gov,2018-02-08,397-196-9361,1990-06-25,N,1990,Beverages,Coffee,Barista Espresso,Espresso shot,You will think you are in Venice when you sip this one. ,1.5 oz,0.600000024,$3.00 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
3539,2019-04-28,10:36:21,N,2,8.5,4.25,N,Ronan,Magee,Coffee Wrangler,2/13/2002,5,#REF!,3,Sopoline Garrison,Rahim@Maecenas.net,2018-07-20,126-181-1670,1985-01-24,F,1985,Beverages,Coffee,Barista Espresso,Latte Rg,You will think you are in Venice when you sip this one. ,3.0 oz,0.850000024,$4.25 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
1254,2019-04-02,11:18:37,N,2,4,2,N,Amela,Chadwick,Coffee Wrangler,9/17/2005,7,#REF!,5,Hadassah,Nicole@montes.net,2017-11-08,413-044-2732,1969-05-17,F,1969,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Sm,An honest cup a coffee.,8 oz,0.400000006,$2.00 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
131,2019-04-21,10:03:20,Y,1,2.5,2.5,N,Joelle,Christen,Store Manager,11/11/2013,7,#REF!,5,Bert,Heidi@fermentum.gov,2018-11-24,960-739-4742,1992-11-27,M,1992,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Rg,An honest cup a coffee.,16 oz,0.5,$2.50 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
330,2019-04-27,13:32:22,Y,1,3.25,3.25,N,Orson,Benedict,Coffee Wrangler,7/26/2016,7,#REF!,5,Abbot,Raja@ante.com,2019-01-26,019-757-1798,1996-10-07,M,1996,Food,Bakery,Scone,Ginger Scone,Little bit of spice,single,2.109999895,$3.25 ,N,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
127,2019-04-08,10:13:56,N,1,19.75,19.75,N,Joseph,Byron,Coffee Wrangler,5/17/2014,7,#REF!,5,Anika,Rebekah@pellentesque.org,2017-09-18,299-701-2190,1986-11-05,N,1986,Whole Bean/Teas,Coffee beans,Premium Beans,Jamacian Coffee River,"Ya man, it will start your day off right. ",1 lb,15.80000019,$19.75 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
1137,2019-04-04,09:34:47,N,1,3,3,N,Kylie,Candace,Coffee Wrangler,1/30/2011,10,#REF!,8,Hollee,Bo@scelerisque.org,2018-12-02,892-780-1640,1977-11-14,F,1977,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,A smooth cup of coffee any time of day. ,24 oz,0.600000024,$3.00 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
1754,2019-04-05,12:29:14,Y,1,4.5,4.5,N,Britanni,Jorden,Coffee Wrangler,3/25/2006,4,#REF!,5,Vernon,Mariko@ante.edu,2017-11-17,525-598-5856,1969-12-18,M,1969,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,"Slightly bitter, but still very rich. ",16 oz,3.380000114,$4.50 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
135,2019-04-08,16:09:09,N,1,3,3,N,Caldwell,Veda,Coffee Wrangler,9/9/2013,3,#REF!,3,Gabriel Hansen,Declan@fames.net,2017-11-15,035-933-1503,1969-10-19,M,1969,Beverages,Tea,Brewed Green tea,Serenity Green Tea Lg,Feel the stress leaving your body. ,24 oz,0.75,$3.00 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
2262,2019-04-01,17:35:26,N,1,3,3,N,Quail,Octavia,Coffee Wrangler,12/5/2014,5,#REF!,3,Donovan Cruz,Madison@gravida.net,2018-10-25,625-957-7041,1991-01-24,M,1991,Beverages,Tea,Brewed Green tea,Serenity Green Tea Lg,Feel the stress leaving your body. ,24 oz,0.75,$3.00 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
58,2019-04-20,10:31:35,Y,1,3,3,N,Britanni,Jorden,Coffee Wrangler,3/25/2006,4,#REF!,3,Jonas Henson,Sean@Etiam.edu,2017-10-10,786-254-2852,1967-08-03,N,1967,Beverages,Coffee,Organic brewed coffee,Brazilian Rg,It's like Carnival in a cup. Clean and smooth.,16 oz,0.600000024,$3.00 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
346,2019-04-07,08:13:11,N,2,6,3,N,Reed,Eve,Store Manager,3/30/2006,5,#REF!,3,Halee Perez,Xyla@lorem.gov,2018-10-09,808-506-0308,1990-01-16,F,1990,Beverages,Coffee,Gourmet brewed coffee,Ethiopia Rg,A bold cup when you want that something extra.,16 oz,0.600000024,$3.00 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
178,2019-04-04,11:44:07,Y,2,6,3,N,Quail,Octavia,Coffee Wrangler,12/5/2014,5,#REF!,3,Peter Robertson,Ursula@vel.gov,2018-05-21,913-375-5124,1981-05-14,M,1981,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Lg,An honest cup a coffee.,24 oz,0.600000024,$3.00 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
1544,2019-04-16,16:06:40,N,2,6,3,N,Tatum,Laurel,Coffee Wrangler,1/31/2015,10,#REF!,8,Ayanna,Robin@aliquam.net,2017-06-04,748-064-1414,1976-07-05,F,1976,Beverages,Coffee,Gourmet brewed coffee,Ethiopia Rg,A bold cup when you want that something extra.,16 oz,0.600000024,$3.00 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
2114,2019-04-03,16:32:00,Y,1,4.25,4.25,N,Remedios,Mari,Coffee Wrangler,5/9/2014,4,#REF!,8,Rajah,Robert@conubia.us,2017-07-06,395-059-7294,1992-06-25,N,1992,Beverages,Coffee,Barista Espresso,Cappuccino Lg,You will think you are in Venice when you sip this one. ,3.0 oz,0.850000024,$4.25 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
79,2019-04-04,11:06:11,N,1,3,3,N,Amela,Chadwick,Coffee Wrangler,9/17/2005,7,#REF!,5,Ruth,Yoko@primis.gov,2017-06-23,229-461-5730,1960-11-13,F,1960,Beverages,Coffee,Barista Espresso,Espresso shot,You will think you are in Venice when you sip this one. ,1.5 oz,0.600000024,$3.00 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
1541,2019-04-03,13:20:28,Y,2,6,3,N,Britanni,Jorden,Coffee Wrangler,3/25/2006,4,#REF!,3,Katell Dunlap,Sonya@quis.org,2017-03-27,111-197-6166,1955-06-20,F,1955,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Lg,An honest cup a coffee.,24 oz,0.600000024,$3.00 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
144,2019-04-13,08:33:56,N,2,5,2.5,N,Remedios,Mari,Coffee Wrangler,5/9/2014,4,#REF!,8,Flynn,Ariel@hendrerit.gov,2018-06-26,454-963-7887,1972-03-08,M,1972,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,A smooth cup of coffee any time of day. ,16 oz,0.5,$2.50 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
2769,2019-04-03,14:48:30,Y,1,3.5,3.5,N,Kylie,Candace,Coffee Wrangler,1/30/2011,10,#REF!,8,Duncan,Jolie@dolor.gov,2017-10-21,645-021-7419,1965-02-16,M,1965,Beverages,Coffee,Organic brewed coffee,Brazilian Lg,It's like Carnival in a cup. Clean and smooth.,24 oz,0.699999988,$3.50 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
1549,2019-04-03,17:42:34,N,2,6,3,N,Britanni,Jorden,Coffee Wrangler,3/25/2006,4,#REF!,5,Gwendolyn,Margaret@primis.com,2017-05-10,928-830-4565,1983-07-06,N,1983,Beverages,Tea,Brewed herbal tea,Peppermint Lg,A cool and refreshing cup.,24 oz,0.75,$3.00 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
1796,2019-04-04,17:30:09,N,1,2.200000048,2.200000048,N,Quail,Octavia,Coffee Wrangler,12/5/2014,5,#REF!,3,Denise Matthews,Hannah@facilisis.org,2017-02-12,212-992-5826,1952-10-15,F,1952,Beverages,Coffee,Organic brewed coffee,Brazilian Sm,It's like Carnival in a cup. Clean and smooth.,8 oz,0.439999998,$2.20 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
3165,2019-04-26,11:32:43,N,1,2.5,2.5,N,Ronan,Magee,Coffee Wrangler,2/13/2002,5,#REF!,3,Dorothy Cortez,Alika@auctor.gov,2018-08-22,965-870-4747,1987-02-09,F,1987,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Sit back and think of the tropical breezes.,16 oz,0.629999995,$2.50 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
2102,2019-04-04,16:52:13,Y,2,7,3.5,N,Quail,Octavia,Coffee Wrangler,12/5/2014,5,#REF!,3,Selma Blackburn,Rebekah@dictum.us,2018-06-17,310-298-0777,1983-01-10,F,1983,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,"Slightly bitter, but still very rich. ",12 oz,2.630000114,$3.50 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
570,2019-04-21,15:28:27,Y,3,9,3,N,Ainsley,Evelyn,Coffee Wrangler,7/31/2003,7,#REF!,5,Martina,Gage@vitae.net,2018-05-13,818-976-4720,1980-11-09,F,1980,Beverages,Tea,Brewed herbal tea,Peppermint Lg,A cool and refreshing cup.,24 oz,0.75,$3.00 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
1635,2019-04-02,16:49:33,N,1,3,3,N,Britanni,Jorden,Coffee Wrangler,3/25/2006,4,#REF!,5,Ira,Laith@placerat.us,2017-04-16,776-003-9601,1982-11-27,N,1982,Beverages,Tea,Brewed Green tea,Serenity Green Tea Lg,Feel the stress leaving your body. ,24 oz,0.75,$3.00 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
381,2019-04-11,13:03:22,N,1,3,3,N,Reed,Eve,Store Manager,3/30/2006,5,#REF!,3,Oleg Justice,John@morbi.com,2017-02-28,254-619-7592,1953-10-22,N,1953,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,A smooth cup of coffee any time of day. ,24 oz,0.600000024,$3.00 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
590,2019-04-28,14:16:20,N,2,5,2.5,N,Kylie,Candace,Coffee Wrangler,1/30/2011,10,#REF!,8,Dorothy,Quon@at.gov,2017-06-29,633-308-2054,1980-06-23,F,1980,Beverages,Tea,Brewed herbal tea,Lemon Grass Rg,You will think you are in Thailand. ,16 oz,0.629999995,$2.50 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
234,2019-04-06,14:48:22,Y,2,6.199999809,3.099999905,N,Britanni,Jorden,Coffee Wrangler,3/25/2006,4,#REF!,5,Addison,Burke@dictum.net,2018-12-18,420-908-0711,1994-05-29,M,1994,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,When you need your eyes opened wide.,24 oz,0.779999971,$3.10 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
1325,2019-04-03,18:46:51,Y,2,7,3.5,N,Kylie,Candace,Coffee Wrangler,1/30/2011,10,#REF!,8,Neve,Clarke@egestas.org,2017-01-31,206-883-8196,1956-01-05,F,1956,Beverages,Coffee,Organic brewed coffee,Brazilian Lg,It's like Carnival in a cup. Clean and smooth.,24 oz,0.699999988,$3.50 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
1837,2019-04-25,19:39:41,Y,1,2.450000048,2.450000048,N,Pandora,Neville,Coffee Wrangler,3/21/2019,10,#REF!,8,Peter,Noble@felis.net,2018-02-21,944-161-3141,1966-01-10,M,1966,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Still a front runner for good premium coffee. ,8 oz,0.49000001,$2.45 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
74,2019-04-24,17:44:19,Y,2,7,3.5,N,Damon,Sasha,Coffee Wrangler,6/5/2010,4,#REF!,3,Bernard Everett,Jelani@egestas.edu,2017-02-04,711-278-7766,1952-04-11,N,1952,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,"Slightly bitter, but still very rich. ",12 oz,2.630000114,$3.50 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
134,2019-04-08,09:57:25,N,1,3,3,N,Joelle,Christen,Store Manager,11/11/2013,7,#REF!,5,Maggy,Alfreda@nulla.us,2017-12-30,535-247-3161,1989-06-14,N,1989,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Sit back and think of the tropical breezes.,24 oz,0.75,$3.00 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
1373,2019-04-23,06:47:21,N,1,2.5,2.5,N,Xena,Rahim,Store Manager,7/24/2016,3,#REF!,8,Madaline,Abbot@posuere.org,2019-03-30,000-568-0551,1973-06-05,F,1973,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Rg,An honest cup a coffee.,16 oz,0.5,$2.50 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
3,2019-04-12,09:05:01,Y,1,3.099999905,3.099999905,N,Tamekah,Maya,Coffee Wrangler,5/17/2005,10,#REF!,8,Eagan,Jelani@urna.com,2017-10-09,999-480-1446,1984-07-19,M,1984,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,When you need your eyes opened wide.,24 oz,0.779999971,$3.10 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
406,2019-04-10,16:43:16,Y,1,4.25,4.25,N,Pandora,Neville,Coffee Wrangler,3/21/2019,10,#REF!,8,Ori,Rhea@Lorem.edu,2019-03-25,815-601-5606,1993-02-22,N,1993,Beverages,Coffee,Barista Espresso,Cappuccino Lg,You will think you are in Venice when you sip this one. ,3.0 oz,0.850000024,$4.25 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
530,2019-04-01,19:28:35,Y,1,4,4,N,Quail,Octavia,Coffee Wrangler,12/5/2014,5,#REF!,3,Xenos Shepard,Nerea@nulla.edu,2018-05-24,278-534-9316,1981-07-15,M,1981,Beverages,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Face the morning after your yoga routine. ,24 oz,1,$4.00 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
427,2019-04-07,18:49:55,N,1,2.5,2.5,N,Reed,Eve,Store Manager,3/30/2006,5,#REF!,3,Lael Harrison,Cora@Duis.edu,2018-11-21,506-376-8984,1992-09-20,F,1992,Beverages,Tea,Brewed herbal tea,Lemon Grass Rg,You will think you are in Thailand. ,16 oz,0.629999995,$2.50 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
1690,2019-04-03,10:24:07,N,2,5,2.5,N,Remedios,Mari,Coffee Wrangler,5/9/2014,4,#REF!,8,Dane,Iona@risus.edu,2017-08-11,009-922-7156,1967-11-25,M,1967,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Sit back and think of the tropical breezes.,16 oz,0.629999995,$2.50 ,Y,N,N,retail,1500,687 9th Avenue,New York,NY,652-212-7020,10036,-73.99034119,40.7618866,31,Hell's Kitchen
118,2019-04-21,08:29:46,N,1,2,2,N,Reed,Eve,Store Manager,3/30/2006,5,#REF!,3,Benjamin Briggs,Geoffrey@amet.com,2017-04-27,536-937-9056,1957-05-19,N,1957,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,A smooth cup of coffee any time of day. ,8 oz,0.400000006,$2.00 ,Y,N,N,retail,1300,32-20 Broadway,Long Island City,NY,777-718-3190,11106,-73.92401123,40.76119614,6,Astoria
394,2019-04-11,12:14:30,N,1,4.5,4.5,N,Ainsley,Evelyn,Coffee Wrangler,7/31/2003,7,#REF!,5,Garrett,Plato@Aliquam.com,2018-01-15,416-019-0682,1973-08-10,M,1973,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,"Slightly bitter, but still very rich. ",16 oz,3.380000114,$4.50 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
1565,2019-04-03,07:13:26,N,2,6,3,N,Britanni,Jorden,Coffee Wrangler,3/25/2006,4,#REF!,5,Ray,Nigel@ultrices.us,2017-09-02,668-644-6225,1965-03-31,M,1965,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Lg,An honest cup a coffee.,24 oz,0.600000024,$3.00 ,Y,N,N,retail,900,100 Church Street,New York,NY,343-212-5151,10007,-74.01013184,40.71329117,16,Lower Manhattan
